,film_code,cinema_code,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,date,month,quarter,day
95,1559,431,5520000,46,0,10,4.99,120000.0,46,921.8436873747496,2018-07-29,7,3,29
96,1559,380,1060000,13,0,2,4.81,81538.46153846152,13,270.2702702702703,2018-08-05,8,3,5
97,1554,533,1260000,21,0,1,19.09,60000.0,21,110.00523834468308,2018-08-24,8,3,24
98,1499,452,1350000,9,0,2,6.43,150000.0,9,139.96889580093313,2018-07-23,7,3,23
99,1497,532,2030000,29,0,4,2.42,70000.0,29,1198.3471074380166,2018-05-24,5,2,24
100,1483,33,13800000,138,0,6,6.39,100000.0,138,2159.62441314554,2018-03-28,3,1,28
101,1498,71,23550000,157,0,3,21.9,150000.0,157,716.8949771689497,2018-07-12,7,3,12
102,1497,210,36960000,462,0,5,26.24,80000.0,462,1760.6707317073176,2018-05-10,5,2,10
103,1493,468,2960000,67,0,4,11.39,44179.10447761193,67,588.2352941176471,2018-05-21,5,2,21
104,1552,428,420000,6,0,1,4.0,70000.0,6,150.0,2018-07-28,7,3,28
105,1484,490,4270000,61,0,4,3.04,70000.0,61,2006.5789473684208,2018-04-09,4,2,9
106,1571,167,420000,6,0,2,0.8,70000.0,6,750.0,2018-11-02,11,4,2
107,1499,82,400000,5,0,5,0.34,80000.0,5,1470.5882352941173,2018-07-01,7,3,1
108,1558,39,10380000,91,0,5,10.58,114065.93406593408,91,860.1134215500945,2018-08-09,8,3,9
109,1481,304,148200000,997,0,7,83.78,148645.93781344028,997,1190.0214848412509,2018-04-01,4,2,1
110,1498,430,700000,14,0,1,13.59,50000.0,14,103.0169242089772,2018-09-11,9,3,11
111,1572,504,1280000,32,0,2,7.98,40000.0,32,401.0025062656641,2018-10-25,10,4,25
112,1493,502,1200000,24,0,1,10.26,50000.0,24,233.91812865497081,2018-07-25,7,3,25
113,1483,196,4280000,59,0,2,31.89,72542.37288135593,59,185.010975227344,2018-04-23,4,2,23
114,1471,162,60000,2,0,3,0.07,30000.0,2,2857.142857142857,2018-05-25,5,2,25
115,1553,33,18000000,150,0,7,6.12,120000.0,150,2450.980392156863,2018-10-04,10,4,4
116,1484,339,1500000,25,0,3,2.78,60000.0,25,899.2805755395683,2018-05-19,5,2,19
117,1482,472,5950000,85,0,2,14.76,70000.0,85,575.880758807588,2018-04-19,4,2,19
118,1484,520,300000,5,0,2,0.87,60000.0,5,574.7126436781608,2018-05-27,5,2,27
119,1511,513,3000000,25,0,1,10.12,120000.0,25,247.03557312252968,2018-08-23,8,3,23
120,1572,72,4200000,35,0,4,8.66,120000.0,35,404.15704387990763,2018-09-26,9,3,26
121,1482,221,5920000,74,0,2,7.39,80000.0,74,1001.3531799729363,2018-05-05,5,2,5
122,1554,50,600000,5,0,6,0.26,120000.0,5,1923.0769230769229,2018-09-02,9,3,2
123,1587,546,27000000,180,0,4,52.33,150000.0,180,343.9709535639213,2018-10-25,10,4,25
124,1486,61,880000,22,2,6,3.67,40000.0,20,599.4550408719347,2018-05-01,5,2,1
125,1511,481,1020000,17,0,3,1.4,60000.0,17,1214.2857142857147,2018-07-23,7,3,23
126,1482,338,2720000,34,0,1,15.96,80000.0,34,213.03258145363412,2018-05-02,5,2,2
127,1570,184,320000,4,0,6,0.26,80000.0,4,1538.4615384615383,2018-09-16,9,3,16
128,1556,34,12000000,100,0,1,22.22,120000.0,100,450.04500450045,2018-10-08,10,4,8
129,1483,475,6790000,97,0,4,16.72,70000.0,97,580.1435406698565,2018-04-11,4,2,11
130,1493,528,7850000,98,2,4,16.14,80102.04081632652,96,607.187112763321,2018-05-09,5,2,9
131,1552,266,7840000,98,0,4,7.05,80000.0,98,1390.0709219858154,2018-07-03,7,3,3
132,1482,390,7520000,96,0,3,35.46,78333.33333333331,96,270.72758037225043,2018-05-13,5,2,13
133,1483,172,1200000,15,0,1,16.67,80000.0,15,89.98200359928013,2018-06-17,6,2,17
134,1486,524,9150000,61,0,5,40.67,150000.0,61,149.98770592574374,2018-04-25,4,2,25
135,1494,196,5360000,67,0,2,55.83,80000.0,67,120.0071646068422,2018-07-06,7,3,6
136,1481,198,5400000,120,0,1,69.77,45000.0,120,171.99369356456933,2018-04-28,4,2,28
137,1550,154,595000,17,0,4,1.42,35000.0,17,1197.1830985915494,2018-08-14,8,3,14
138,1502,88,100000,2,0,4,0.08,50000.0,2,2500.0,2018-05-30,5,2,30
139,1558,222,1680000,21,0,4,2.58,80000.0,21,813.953488372093,2018-08-27,8,3,27
140,1484,529,27900000,251,0,3,43.58,111155.37848605578,251,575.9522716842587,2018-03-27,3,1,27
141,1576,184,3520000,44,0,7,2.42,80000.0,44,1818.1818181818185,2018-09-29,9,3,29
142,1559,285,200000,2,0,3,1.11,100000.0,2,180.18018018018017,2018-08-05,8,3,5
143,1485,277,1280000,16,0,1,4.38,80000.0,16,365.296803652968,2018-05-21,5,2,21
144,1554,534,5600000,80,0,3,30.3,70000.0,80,264.026402640264,2018-07-25,7,3,25
145,1552,415,420000,9,0,2,1.34,46666.66666666666,9,671.641791044776,2018-07-06,7,3,6
146,1494,414,1120000,14,0,1,9.72,80000.0,14,144.0329218106996,2018-06-21,6,2,21
147,1559,198,770000,11,0,1,5.88,70000.0,11,187.0748299319728,2018-08-12,8,3,12
148,1556,455,2240000,28,0,3,7.29,80000.0,28,384.08779149519887,2018-08-29,8,3,29
149,1493,50,600000,6,0,6,0.31,100000.0,6,1935.483870967742,2018-05-06,5,2,6
150,1495,195,4800000,66,0,4,41.25,72727.27272727272,66,160.0,2018-05-19,5,2,19
151,1573,445,4920000,41,0,10,4.22,120000.0,41,971.5639810426543,2018-10-28,10,4,28
152,1485,315,3720000,124,0,1,82.67,30000.0,124,149.99395185677997,2018-04-17,4,2,17
153,1498,94,770000,11,0,6,0.36,70000.0,11,3055.555555555556,2018-06-29,6,2,29
154,1552,546,2400000,16,0,3,6.2,150000.0,16,258.06451612903226,2018-07-04,7,3,4
155,1483,73,77560000,1108,0,7,63.57,70000.0,1108,1742.9605159666507,2018-05-22,5,2,22
156,1483,72,4200000,42,0,4,3.1,100000.0,42,1354.8387096774195,2018-04-22,4,2,22
157,1576,471,2480000,33,0,1,9.43,75151.51515151515,33,349.9469777306469,2018-10-16,10,4,16
158,1554,524,32420000,225,0,4,77.85,144088.88888888888,225,289.01734104046244,2018-11-01,11,4,1
159,1499,528,1140000,19,0,1,40.43,60000.0,19,46.99480583724957,2018-09-04,9,3,4
160,1499,489,1800000,12,0,3,10.0,150000.0,12,120.0,2018-08-06,8,3,6
161,1481,299,1650000,55,0,1,11.78,30000.0,55,466.893039049236,2018-05-18,5,2,18
162,1554,485,79500000,534,0,9,46.48,148876.40449438206,534,1148.8812392426848,2018-08-04,8,3,4
163,1481,524,8850000,59,0,2,36.88,150000.0,59,159.9783080260303,2018-06-15,6,2,15
164,1493,531,360000,6,0,1,7.32,60000.0,6,81.96721311475409,2018-08-04,8,3,4
165,1484,450,16080000,139,0,4,27.04,115683.45323741008,139,514.0532544378698,2018-03-17,3,1,17
166,1556,489,59440000,806,1,14,82.84,73746.89826302731,805,972.9599227426364,2018-08-14,8,3,14
167,1569,518,6840000,72,0,4,28.8,95000.0,72,250.0,2018-10-04,10,4,4
168,1576,221,8080000,101,0,2,10.08,80000.0,101,1001.9841269841268,2018-10-17,10,4,17
169,1559,528,5220000,87,7,3,60.84,60000.0,80,142.99802761341223,2018-08-07,8,3,7
170,1486,181,4500000,48,0,4,6.99,93750.0,48,686.6952789699571,2018-03-27,3,1,27
171,1554,64,3700000,74,0,1,23.13,50000.0,74,319.93082576740164,2018-10-16,10,4,16
172,1498,489,18530000,146,0,12,18.6,126917.80821917807,146,784.9462365591397,2018-06-29,6,2,29
173,1497,485,3150000,21,0,1,20.59,150000.0,21,101.99125789218068,2018-06-24,6,2,24
174,1568,50,600000,5,0,3,1.7,120000.0,5,294.11764705882354,2018-10-03,10,4,3
175,1484,475,3150000,52,0,2,17.93,60576.92307692308,52,290.0167317345232,2018-05-12,5,2,12
176,1494,266,300000,2,0,2,0.65,150000.0,2,307.6923076923077,2018-07-11,7,3,11
177,1558,481,1260000,21,0,3,1.73,60000.0,21,1213.8728323699422,2018-08-26,8,3,26
178,1499,452,3000000,20,0,2,14.29,150000.0,20,139.95801259622112,2018-08-04,8,3,4
179,1554,430,8200000,85,0,3,31.48,96470.58823529413,85,270.0127064803049,2018-08-13,8,3,13
180,1484,321,210000,7,0,1,1.61,30000.0,7,434.7826086956521,2018-05-26,5,2,26
181,1554,390,47850000,867,0,14,89.47,55190.311418685116,867,969.0399016430088,2018-08-07,8,3,7
182,1482,339,3900000,65,0,4,5.42,60000.0,65,1199.2619926199266,2018-04-27,4,2,27
183,1550,417,200000,2,0,3,0.39,100000.0,2,512.8205128205128,2018-06-18,6,2,18
184,1564,537,500000,10,0,1,4.26,50000.0,10,234.74178403755866,2018-09-10,9,3,10
185,1554,254,10290000,294,0,6,19.84,35000.0,294,1481.854838709677,2018-08-14,8,3,14
186,1497,352,6960000,88,0,5,11.89,79090.90909090909,88,740.1177460050462,2018-06-09,6,2,9
187,1559,513,23520000,196,0,2,39.52,120000.0,196,495.95141700404844,2018-08-31,8,3,31
188,1560,455,1280000,32,0,3,3.05,40000.0,32,1049.1803278688526,2018-10-02,10,4,2
189,1573,266,18880000,236,0,8,4.15,80000.0,236,5686.746987951807,2018-10-20,10,4,20
190,1511,456,2720000,34,0,2,17.44,80000.0,34,194.954128440367,2018-07-02,7,3,2
191,1483,515,1405000,38,0,2,3.65,36973.68421052631,38,1041.0958904109586,2018-04-23,4,2,23
192,1576,195,10200000,102,0,6,42.5,100000.0,102,240.0,2018-10-22,10,4,22
193,1575,266,3750000,25,0,6,2.6,150000.0,25,961.5384615384617,2018-09-26,9,3,26
194,1554,155,23520000,594,0,5,60.61,39595.9595959596,594,980.0362976406534,2018-07-31,7,3,31
195,1480,513,3800000,38,0,1,16.17,100000.0,38,235.0030921459493,2018-04-11,4,2,11
